animal_id	load..N.
1	162
2	165
3	255
4	215
7	181
8	148
9	167
10	166
11	168
12	177
13	156
14	143
15	178
16	167
17	158
18	167
19	155
20	136
21	177
22	324
23	167
24	178
25	167
26	147
27	167
29	116
30	199
31	170
32	145
33	140
34	258
35	151
36	168
37	149
38	172
39	143
40	104
42	102
43	128
44	172
45	151
48	146
49	137
50	162
51	143
52	111
53	151
54	265
55	186
56	149
57	233
58	136
59	144
60	107
61	172
63	151
64	125
65	185
66	158
67	234
68	160
69	116
70	139
73	167
74	157
76	106
77	148
79	192
80	145
81	206
82	216
83	149
84	143
86	278
87	128
88	159
89	134
90	139
91	141
92	253
93	175
95	186
96	138
97	131
98	155
101	127
102	220
104	148
105	170
106	148
107	186
108	148
109	191
110	141
111	145
112	146
113	219
114	148
115	144
116	148
118	240
120	141
121	121
122	172
123	146
124	123
125	148
127	138
128	166
129	93
131	131
132	141
133	116
136	154
137	212
138	143
139	185
142	153
144	140
145	127
146	162
147	187
148	126
149	121
150	101
152	180
154	185
155	126
156	200
157	153
158	168
160	204
161	134
162	177
163	128
164	150
166	202
167	142
168	157
172	105
173	178
174	148
175	173
176	228
177	183
182	181
184	151
185	173
186	164
189	152
191	161
192	149
193	137
194	148
196	199
198	135
199	107
200	168
201	144
202	105
203	73
204	137
205	156
207	159
208	171
209	155
211	107
215	157
216	181
219	109
220	152
221	153
223	120
225	140
226	201
227	122
228	132
229	148
231	109
233	154
234	123
235	131
238	111
239	189
240	131
242	153
243	110
244	176
246	131
247	113
248	138
249	209
250	117
251	188
252	146
253	161
255	155
256	134
257	155
260	131
261	174
262	142
263	125
264	175
265	134
266	156
267	160
268	219
269	194
274	204
275	146
276	166
277	101
278	178
279	201
281	140
282	113
283	221
286	121
289	113
290	220
291	144
292	147
293	121
294	152
295	141
297	154
298	158
299	155
300	114
301	104
303	149
304	148
307	163
309	150
310	169
311	181
312	121
313	145
314	137
315	165
316	159
317	133
318	131
319	133
320	94
321	177
322	157
323	150
324	134
325	122
326	137
327	166
328	120
330	127
331	129
332	162
333	107
334	109
335	136
336	132
337	124
338	123
