animal_id	breed
1	Bovans
2	Bovans
3	LSL
4	LSL
7	Bovans
8	Bovans
9	LSL
10	LSL
11	Bovans
12	Bovans
13	Bovans
14	Bovans
15	LSL
16	LSL
17	Bovans
18	Bovans
19	Bovans
20	Bovans
21	LSL
22	LSL
23	Bovans
24	Bovans
25	Bovans
26	Bovans
27	LSL
29	Bovans
30	Bovans
31	Bovans
32	Bovans
33	LSL
34	LSL
35	Bovans
36	Bovans
37	Bovans
38	Bovans
39	LSL
40	LSL
42	Bovans
43	Bovans
44	Bovans
45	LSL
48	Bovans
49	LSL
50	LSL
51	Bovans
52	Bovans
53	LSL
54	LSL
55	LSL
56	LSL
57	Bovans
58	Bovans
59	LSL
60	LSL
61	LSL
63	Bovans
64	Bovans
65	LSL
66	LSL
67	LSL
68	LSL
69	Bovans
70	Bovans
73	LSL
74	LSL
75	Bovans
76	Bovans
77	LSL
79	LSL
80	LSL
81	Bovans
82	Bovans
83	LSL
84	LSL
86	LSL
87	Bovans
88	Bovans
89	LSL
90	LSL
91	LSL
92	LSL
93	Bovans
95	LSL
96	LSL
97	Bovans
98	Bovans
101	Bovans
102	Bovans
104	Bovans
105	LSL
106	LSL
107	Bovans
108	Bovans
109	Bovans
110	Bovans
111	LSL
112	LSL
113	Bovans
114	Bovans
115	Bovans
116	Bovans
118	LSL
120	Bovans
121	Bovans
122	Bovans
123	LSL
124	LSL
125	Bovans
127	Bovans
128	Bovans
129	LSL
131	Bovans
132	Bovans
133	Bovans
136	LSL
137	Bovans
138	Bovans
139	Bovans
142	LSL
144	Bovans
145	LSL
146	LSL
147	Bovans
148	Bovans
149	LSL
150	LSL
152	LSL
154	Bovans
155	LSL
156	LSL
157	LSL
158	LSL
160	Bovans
161	LSL
162	LSL
163	LSL
164	LSL
166	Bovans
167	LSL
168	LSL
170	LSL
171	Bovans
172	Bovans
173	LSL
174	LSL
175	LSL
176	LSL
177	Bovans
182	LSL
184	Bovans
185	LSL
186	LSL
189	Bovans
191	LSL
192	LSL
193	Bovans
194	Bovans
195	LSL
196	LSL
197	Bovans
198	Bovans
199	Bovans
200	Bovans
201	LSL
202	LSL
203	Bovans
204	Bovans
205	Bovans
207	LSL
208	LSL
209	Bovans
211	Bovans
215	Bovans
216	Bovans
219	LSL
220	LSL
221	Bovans
223	Bovans
225	LSL
226	LSL
227	Bovans
228	Bovans
229	Bovans
231	LSL
233	Bovans
234	Bovans
235	Bovans
238	LSL
239	Bovans
240	Bovans
242	LSL
243	Bovans
244	Bovans
246	LSL
247	LSL
248	LSL
249	Bovans
250	Bovans
251	LSL
252	LSL
253	LSL
254	LSL
255	Bovans
256	Bovans
257	LSL
260	LSL
261	Bovans
262	Bovans
263	LSL
264	LSL
265	LSL
266	LSL
267	Bovans
268	Bovans
269	LSL
274	Bovans
275	LSL
276	LSL
277	LSL
278	LSL
279	Bovans
281	LSL
282	LSL
283	LSL
286	Bovans
289	Bovans
290	Bovans
291	LSL
292	Bovans
293	LSL
294	Bovans
295	LSL
297	LSL
298	LSL
299	LSL
300	Bovans
301	LSL
303	Bovans
304	LSL
307	LSL
309	LSL
310	Bovans
311	LSL
312	Bovans
313	LSL
314	Bovans
315	Bovans
316	Bovans
317	LSL
318	Bovans
319	LSL
320	LSL
321	LSL
322	Bovans
323	LSL
324	LSL
325	Bovans
326	Bovans
327	Bovans
328	Bovans
330	LSL
331	Bovans
332	Bovans
333	Bovans
334	Bovans
335	Bovans
336	LSL
337	Bovans
338	LSL
339	LSL
341	LSL
342	LSL
343	LSL
344	LSL
345	Bovans
346	Bovans
349	LSL
350	LSL
351	LSL
352	LSL
354	LSL
356	LSL
357	Bovans
358	Bovans
359	LSL
360	LSL
361	Bovans
362	Bovans
363	Bovans
365	LSL
366	LSL
367	Bovans
368	Bovans
369	LSL
370	LSL
371	Bovans
373	LSL
374	LSL
375	LSL
377	Bovans
378	Bovans
379	LSL
381	Bovans
382	Bovans
383	LSL
384	LSL
385	Bovans
386	Bovans
387	Bovans
388	Bovans
389	LSL
390	LSL
391	Bovans
392	Bovans
393	LSL
395	Bovans
397	LSL
398	LSL
399	Bovans
400	LSL
401	LSL
402	Bovans
405	Bovans
407	LSL
408	LSL
409	Bovans
412	Bovans
413	LSL
414	LSL
416	Bovans
417	LSL
418	LSL
421	LSL
422	LSL
423	LSL
424	Bovans
425	LSL
426	LSL
435	Bovans
438	LSL
439	Bovans
440	Bovans
441	LSL
443	Bovans
445	LSL
447	LSL
448	LSL
449	Bovans
451	LSL
452	LSL
453	LSL
454	LSL
455	Bovans
456	Bovans
457	Bovans
458	Bovans
460	Bovans
461	Bovans
462	Bovans
463	LSL
465	LSL
466	LSL
467	Bovans
468	Bovans
471	LSL
472	LSL
473	Bovans
474	Bovans
475	LSL
476	Bovans
477	Bovans
478	LSL
479	LSL
480	LSL
481	Bovans
482	Bovans
483	Bovans
484	Bovans
485	LSL
486	LSL
487	Bovans
489	LSL
490	LSL
491	Bovans
492	Bovans
493	LSL
494	LSL
497	Bovans
498	Bovans
499	LSL
500	LSL
501	LSL
502	LSL
503	LSL
504	Bovans
505	Bovans
506	Bovans
509	LSL
510	LSL
511	LSL
513	Bovans
514	Bovans
517	Bovans
518	Bovans
521	LSL
522	Bovans
523	LSL
524	LSL
525	LSL
526	LSL
527	Bovans
531	Bovans
532	Bovans
533	Bovans
534	Bovans
535	Bovans
536	Bovans
537	Bovans
539	Bovans
540	Bovans
541	LSL
542	LSL
544	LSL
545	Bovans
546	Bovans
547	Bovans
548	Bovans
549	LSL
551	Bovans
554	LSL
555	Bovans
557	Bovans
558	LSL
560	Bovans
562	Bovans
563	Bovans
567	Bovans
568	Bovans
569	Bovans
570	LSL
572	Bovans
573	LSL
574	LSL
575	Bovans
576	LSL
577	Bovans
578	Bovans
579	LSL
580	LSL
581	LSL
582	LSL
584	LSL
585	LSL
586	Bovans
587	Bovans
588	LSL
590	Bovans
592	LSL
593	LSL
596	LSL
598	Bovans
599	Bovans
600	Bovans
601	Bovans
603	Bovans
605	LSL
608	Bovans
609	Bovans
610	LSL
611	LSL
612	LSL
613	LSL
614	Bovans
615	Bovans
616	LSL
617	LSL
618	Bovans
621	Bovans
622	Bovans
623	LSL
624	LSL
625	LSL
626	LSL
627	LSL
628	Bovans
629	Bovans
630	LSL
631	LSL
632	Bovans
633	Bovans
634	Bovans
636	LSL
637	LSL
639	Bovans
643	LSL
644	Bovans
645	Bovans
646	Bovans
647	LSL
649	LSL
650	LSL
652	Bovans
653	LSL
654	LSL
655	Bovans
656	Bovans
658	LSL
660	Bovans
661	LSL
1003	LSL
1004	LSL
1006	LSL
1007	LSL
1008	LSL
1009	LSL
1010	LSL
1011	LSL
1012	LSL
1013	LSL
1014	LSL
1015	LSL
1016	LSL
1017	LSL
1019	LSL
1020	LSL
1022	Bovans
1023	Bovans
1026	Bovans
1027	Bovans
1030	Bovans
1031	Bovans
1032	Bovans
1033	Bovans
1035	Bovans
1037	Bovans
1038	Bovans
1039	Bovans
1042	Bovans
1043	Bovans
1044	Bovans
1045	Bovans
1046	Bovans
1047	Bovans
1048	Bovans
1049	Bovans
1050	Bovans
1052	Bovans
1054	Bovans
1055	Bovans
1056	Bovans
1059	Bovans
1061	LSL
1062	LSL
1063	LSL
1064	LSL
1065	LSL
1066	LSL
1067	LSL
1069	LSL
1070	LSL
1071	LSL
1072	LSL
1073	LSL
1074	LSL
1075	LSL
1076	LSL
1078	LSL
1079	LSL
1080	LSL
1082	LSL
1083	LSL
1084	LSL
1085	LSL
1086	LSL
1087	LSL
1088	LSL
1089	LSL
1090	LSL
1091	LSL
1093	LSL
1095	LSL
1098	LSL
1099	LSL
1101	Bovans
1102	Bovans
1104	Bovans
1105	Bovans
1108	Bovans
1109	Bovans
1110	Bovans
1112	Bovans
1115	Bovans
1116	Bovans
1117	Bovans
1118	Bovans
1120	Bovans
1122	LSL
1123	LSL
1124	LSL
1125	LSL
1126	LSL
1129	LSL
1132	LSL
1135	LSL
1136	LSL
1138	LSL
1139	LSL
1141	LSL
1142	LSL
1143	LSL
1146	LSL
1147	LSL
1148	LSL
1150	LSL
1151	LSL
1152	LSL
1153	LSL
1156	LSL
1159	LSL
1160	LSL
1162	Bovans
1163	Bovans
1164	Bovans
1165	Bovans
1167	Bovans
1168	Bovans
1169	Bovans
1170	Bovans
1171	Bovans
1172	Bovans
1174	Bovans
1175	Bovans
1178	Bovans
1179	Bovans
1180	Bovans
1181	LSL
1182	LSL
1183	LSL
1185	LSL
1188	LSL
1189	LSL
1191	LSL
1192	LSL
1193	LSL
1194	LSL
1195	LSL
1196	LSL
1197	LSL
1200	LSL
1201	LSL
1202	LSL
1203	LSL
1204	LSL
1206	LSL
1207	LSL
1208	LSL
1209	LSL
1211	LSL
1213	LSL
1214	LSL
1216	LSL
1217	LSL
1219	LSL
1220	LSL
1221	Bovans
1222	Bovans
1223	Bovans
1224	Bovans
1225	Bovans
1226	Bovans
1229	Bovans
1230	Bovans
1231	Bovans
1232	Bovans
1234	Bovans
1235	Bovans
1236	Bovans
1237	Bovans
1238	Bovans
1241	Bovans
1242	Bovans
1243	Bovans
1244	Bovans
1245	Bovans
1246	Bovans
1247	Bovans
1248	Bovans
1249	Bovans
1250	Bovans
1251	Bovans
1252	Bovans
1254	Bovans
1256	Bovans
1257	Bovans
1258	Bovans
1260	Bovans
1261	Bovans
1262	Bovans
1263	Bovans
1264	Bovans
1265	Bovans
1267	Bovans
1269	Bovans
1270	Bovans
1271	Bovans
1273	Bovans
1274	Bovans
1275	Bovans
1276	Bovans
1277	Bovans
1278	Bovans
1279	Bovans
1281	LSL
1282	LSL
1283	LSL
1286	LSL
1287	LSL
1288	LSL
1290	LSL
1291	LSL
1293	LSL
1294	LSL
1296	LSL
1298	LSL
1299	LSL
1300	LSL
1301	Bovans
1302	Bovans
1303	Bovans
1305	Bovans
1306	Bovans
1307	Bovans
1308	Bovans
1309	Bovans
1310	Bovans
1311	Bovans
1312	Bovans
1313	Bovans
1314	Bovans
1315	Bovans
1316	Bovans
1317	Bovans
1318	Bovans
1319	Bovans
1321	LSL
1322	LSL
1323	LSL
1324	LSL
1325	LSL
1326	LSL
1327	LSL
1330	LSL
1332	LSL
1334	LSL
1336	LSL
1337	LSL
1341	Bovans
1342	Bovans
1343	Bovans
1344	Bovans
1345	Bovans
1346	Bovans
1347	Bovans
1348	Bovans
1349	Bovans
1351	Bovans
1352	Bovans
1354	Bovans
1355	Bovans
1356	Bovans
1359	Bovans
1360	Bovans
1361	LSL
1362	LSL
1364	LSL
1365	LSL
1366	LSL
1370	LSL
1371	LSL
1372	LSL
1373	Bovans
1374	Bovans
1375	Bovans
1379	Bovans
1381	Bovans
1382	Bovans
1386	Bovans
1387	Bovans
1389	Bovans
1390	Bovans
1391	Bovans
1393	Bovans
1394	Bovans
1395	Bovans
1397	Bovans
1398	Bovans
1399	Bovans
1400	Bovans
1401	Bovans
1402	Bovans
1403	LSL
1405	LSL
1406	LSL
1407	LSL
1410	LSL
1411	LSL
1412	LSL
1415	LSL
1416	LSL
1418	LSL
1419	LSL
1420	LSL
1421	LSL
1422	LSL
1423	LSL
1424	LSL
1425	LSL
1427	Bovans
1428	Bovans
1429	Bovans
1431	Bovans
1433	Bovans
1434	Bovans
1435	Bovans
1438	Bovans
1439	Bovans
1440	Bovans
1441	Bovans
1443	LSL
1444	LSL
1445	LSL
1446	LSL
1447	LSL
1448	LSL
1451	LSL
1452	LSL
1453	LSL
1454	LSL
1456	LSL
1459	LSL
1460	LSL
1461	LSL
1462	LSL
1463	LSL
1466	LSL
1467	LSL
1468	LSL
1469	LSL
1470	LSL
1471	LSL
1473	LSL
1474	Bovans
1476	Bovans
1477	Bovans
1483	Bovans
1484	Bovans
1485	Bovans
1486	Bovans
1487	LSL
1488	LSL
1489	LSL
1490	LSL
1491	LSL
1492	LSL
1493	LSL
1494	LSL
1495	LSL
1496	LSL
1498	LSL
1499	LSL
1500	LSL
1501	LSL
1503	LSL
1504	LSL
1505	LSL
1506	LSL
1507	LSL
1510	LSL
1511	LSL
1512	LSL
1514	Bovans
1515	Bovans
1516	Bovans
1517	Bovans
1518	Bovans
1522	Bovans
1524	Bovans
1526	Bovans
1527	Bovans
1528	Bovans
1529	Bovans
1530	Bovans
1531	Bovans
1532	Bovans
1533	Bovans
1534	Bovans
1535	Bovans
1536	Bovans
1537	Bovans
1538	Bovans
1539	Bovans
1540	Bovans
1541	Bovans
1542	Bovans
1543	Bovans
1544	Bovans
1545	Bovans
1546	Bovans
1547	Bovans
1548	Bovans
1550	LSL
1552	LSL
1555	LSL
1556	LSL
1558	LSL
1559	LSL
1560	LSL
1562	LSL
1564	Bovans
1565	Bovans
1567	Bovans
1569	Bovans
1572	Bovans
1573	Bovans
1574	Bovans
1575	LSL
1576	LSL
1577	LSL
1578	LSL
1579	LSL
1580	LSL
1581	LSL
1582	LSL
1584	LSL
1585	LSL
1586	LSL
1587	LSL
1588	LSL
1589	LSL
1590	LSL
1591	Bovans
1592	Bovans
1595	Bovans
1596	Bovans
1597	Bovans
1600	Bovans
1602	Bovans
1603	Bovans
1605	Bovans
1606	Bovans
1607	Bovans
1608	Bovans
1609	LSL
1610	LSL
1611	LSL
1612	LSL
1613	Bovans
1614	Bovans
1615	Bovans
1616	Bovans
1617	Bovans
1618	Bovans
1619	Bovans
1622	LSL
1624	LSL
1625	Bovans
1627	Bovans
1628	Bovans
