animal_id	cage.pen
1	CAGE
2	CAGE
3	CAGE
4	CAGE
7	CAGE
8	CAGE
9	CAGE
10	CAGE
11	CAGE
12	CAGE
13	CAGE
14	CAGE
15	CAGE
16	CAGE
17	CAGE
18	CAGE
19	CAGE
20	CAGE
21	CAGE
22	CAGE
23	CAGE
24	CAGE
25	CAGE
26	CAGE
27	CAGE
29	CAGE
30	CAGE
31	CAGE
32	CAGE
33	CAGE
34	CAGE
35	CAGE
36	CAGE
37	CAGE
38	CAGE
39	CAGE
40	CAGE
42	CAGE
43	CAGE
44	CAGE
45	CAGE
48	CAGE
49	CAGE
50	CAGE
51	CAGE
52	CAGE
53	CAGE
54	CAGE
55	CAGE
56	CAGE
57	CAGE
58	CAGE
59	CAGE
60	CAGE
61	CAGE
63	CAGE
64	CAGE
65	CAGE
66	CAGE
67	CAGE
68	CAGE
69	CAGE
70	CAGE
73	CAGE
74	CAGE
75	CAGE
76	CAGE
77	CAGE
79	CAGE
80	CAGE
81	CAGE
82	CAGE
83	CAGE
84	CAGE
86	CAGE
87	CAGE
88	CAGE
89	CAGE
90	CAGE
91	CAGE
92	CAGE
93	CAGE
95	CAGE
96	CAGE
97	CAGE
98	CAGE
101	CAGE
102	CAGE
104	CAGE
105	CAGE
106	CAGE
107	CAGE
108	CAGE
109	CAGE
110	CAGE
111	CAGE
112	CAGE
113	CAGE
114	CAGE
115	CAGE
116	CAGE
118	CAGE
120	CAGE
121	CAGE
122	CAGE
123	CAGE
124	CAGE
125	CAGE
127	CAGE
128	CAGE
129	CAGE
131	CAGE
132	CAGE
133	CAGE
136	CAGE
137	CAGE
138	CAGE
139	CAGE
142	CAGE
144	CAGE
145	CAGE
146	CAGE
147	CAGE
148	CAGE
149	CAGE
150	CAGE
152	CAGE
154	CAGE
155	CAGE
156	CAGE
157	CAGE
158	CAGE
160	CAGE
161	CAGE
162	CAGE
163	CAGE
164	CAGE
166	CAGE
167	CAGE
168	CAGE
170	CAGE
171	CAGE
172	CAGE
173	CAGE
174	CAGE
175	CAGE
176	CAGE
177	CAGE
182	CAGE
184	CAGE
185	CAGE
186	CAGE
189	CAGE
191	CAGE
192	CAGE
193	CAGE
194	CAGE
195	CAGE
196	CAGE
197	CAGE
198	CAGE
199	CAGE
200	CAGE
201	CAGE
202	CAGE
203	CAGE
204	CAGE
205	CAGE
207	CAGE
208	CAGE
209	CAGE
211	CAGE
215	CAGE
216	CAGE
219	CAGE
220	CAGE
221	CAGE
223	CAGE
225	CAGE
226	CAGE
227	CAGE
228	CAGE
229	CAGE
231	CAGE
233	CAGE
234	CAGE
235	CAGE
238	CAGE
239	CAGE
240	CAGE
242	CAGE
243	CAGE
244	CAGE
246	CAGE
247	CAGE
248	CAGE
249	CAGE
250	CAGE
251	CAGE
252	CAGE
253	CAGE
254	CAGE
255	CAGE
256	CAGE
257	CAGE
260	CAGE
261	CAGE
262	CAGE
263	CAGE
264	CAGE
265	CAGE
266	CAGE
267	CAGE
268	CAGE
269	CAGE
274	CAGE
275	CAGE
276	CAGE
277	CAGE
278	CAGE
279	CAGE
281	CAGE
282	CAGE
283	CAGE
286	CAGE
289	CAGE
290	CAGE
291	CAGE
292	CAGE
293	CAGE
294	CAGE
295	CAGE
297	CAGE
298	CAGE
299	CAGE
300	CAGE
301	CAGE
303	CAGE
304	CAGE
307	CAGE
309	CAGE
310	CAGE
311	CAGE
312	CAGE
313	CAGE
314	CAGE
315	CAGE
316	CAGE
317	CAGE
318	CAGE
319	CAGE
320	CAGE
321	CAGE
322	CAGE
323	CAGE
324	CAGE
325	CAGE
326	CAGE
327	CAGE
328	CAGE
330	CAGE
331	CAGE
332	CAGE
333	CAGE
334	CAGE
335	CAGE
336	CAGE
337	CAGE
338	CAGE
339	CAGE
341	CAGE
342	CAGE
343	CAGE
344	CAGE
345	CAGE
346	CAGE
349	CAGE
350	CAGE
351	CAGE
352	CAGE
354	CAGE
356	CAGE
357	CAGE
358	CAGE
359	CAGE
360	CAGE
361	CAGE
362	CAGE
363	CAGE
365	CAGE
366	CAGE
367	CAGE
368	CAGE
369	CAGE
370	CAGE
371	CAGE
373	CAGE
374	CAGE
375	CAGE
377	CAGE
378	CAGE
379	CAGE
381	CAGE
382	CAGE
383	CAGE
384	CAGE
385	CAGE
386	CAGE
387	CAGE
388	CAGE
389	CAGE
390	CAGE
391	CAGE
392	CAGE
393	CAGE
395	CAGE
397	CAGE
398	CAGE
399	CAGE
400	CAGE
401	CAGE
402	CAGE
405	CAGE
407	CAGE
408	CAGE
409	CAGE
412	CAGE
413	CAGE
414	CAGE
416	CAGE
417	CAGE
418	CAGE
421	CAGE
422	CAGE
423	CAGE
424	CAGE
425	CAGE
426	CAGE
435	CAGE
438	CAGE
439	CAGE
440	CAGE
441	CAGE
443	CAGE
445	CAGE
447	CAGE
448	CAGE
449	CAGE
451	CAGE
452	CAGE
453	CAGE
454	CAGE
455	CAGE
456	CAGE
457	CAGE
458	CAGE
460	CAGE
461	CAGE
462	CAGE
463	CAGE
465	CAGE
466	CAGE
467	CAGE
468	CAGE
471	CAGE
472	CAGE
473	CAGE
474	CAGE
475	CAGE
476	CAGE
477	CAGE
478	CAGE
479	CAGE
480	CAGE
481	CAGE
482	CAGE
483	CAGE
484	CAGE
485	CAGE
486	CAGE
487	CAGE
489	CAGE
490	CAGE
491	CAGE
492	CAGE
493	CAGE
494	CAGE
497	CAGE
498	CAGE
499	CAGE
500	CAGE
501	CAGE
502	CAGE
503	CAGE
504	CAGE
505	CAGE
506	CAGE
509	CAGE
510	CAGE
511	CAGE
513	CAGE
514	CAGE
517	CAGE
518	CAGE
521	CAGE
522	CAGE
523	CAGE
524	CAGE
525	CAGE
526	CAGE
527	CAGE
531	CAGE
532	CAGE
533	CAGE
534	CAGE
535	CAGE
536	CAGE
537	CAGE
539	CAGE
540	CAGE
541	CAGE
542	CAGE
544	CAGE
545	CAGE
546	CAGE
547	CAGE
548	CAGE
549	CAGE
551	CAGE
554	CAGE
555	CAGE
557	CAGE
558	CAGE
560	CAGE
562	CAGE
563	CAGE
567	CAGE
568	CAGE
569	CAGE
570	CAGE
572	CAGE
573	CAGE
574	CAGE
575	CAGE
576	CAGE
577	CAGE
578	CAGE
579	CAGE
580	CAGE
581	CAGE
582	CAGE
584	CAGE
585	CAGE
586	CAGE
587	CAGE
