animal_id	feed
1	SLU-försök
2	SLU-försök
3	SLU-kontroll
4	SLU-kontroll
7	SLU-försök
8	SLU-försök
9	SLU-kontroll
10	SLU-kontroll
11	SLU-kontroll
12	SLU-kontroll
13	SLU-försök
14	SLU-försök
15	SLU-kontroll
16	SLU-kontroll
17	SLU-kontroll
18	SLU-kontroll
19	SLU-försök
20	SLU-försök
21	SLU-kontroll
22	SLU-kontroll
23	SLU-kontroll
24	SLU-kontroll
25	SLU-kontroll
26	SLU-kontroll
27	SLU-försök
29	SLU-försök
30	SLU-försök
31	SLU-kontroll
32	SLU-kontroll
33	SLU-försök
34	SLU-försök
35	SLU-försök
36	SLU-försök
37	SLU-kontroll
38	SLU-kontroll
39	SLU-försök
40	SLU-försök
42	SLU-försök
43	SLU-kontroll
44	SLU-kontroll
45	SLU-försök
48	SLU-försök
49	SLU-försök
50	SLU-försök
51	SLU-försök
52	SLU-försök
53	SLU-försök
54	SLU-försök
55	SLU-försök
56	SLU-försök
57	SLU-försök
58	SLU-försök
59	SLU-försök
60	SLU-försök
61	SLU-försök
63	SLU-försök
64	SLU-försök
65	SLU-försök
66	SLU-försök
67	SLU-försök
68	SLU-försök
69	SLU-försök
70	SLU-försök
73	SLU-kontroll
74	SLU-kontroll
75	SLU-kontroll
76	SLU-kontroll
77	SLU-kontroll
79	SLU-kontroll
80	SLU-kontroll
81	SLU-kontroll
82	SLU-kontroll
83	SLU-kontroll
84	SLU-kontroll
86	SLU-kontroll
87	SLU-kontroll
88	SLU-kontroll
89	SLU-kontroll
90	SLU-kontroll
91	SLU-kontroll
92	SLU-kontroll
93	SLU-kontroll
95	SLU-kontroll
96	SLU-kontroll
97	SLU-kontroll
98	SLU-kontroll
101	SLU-kontroll
102	SLU-kontroll
104	SLU-kontroll
105	SLU-försök
106	SLU-försök
107	SLU-kontroll
108	SLU-kontroll
109	SLU-kontroll
110	SLU-kontroll
111	SLU-försök
112	SLU-försök
113	SLU-kontroll
114	SLU-kontroll
115	SLU-kontroll
116	SLU-kontroll
118	SLU-försök
120	SLU-kontroll
121	SLU-försök
122	SLU-försök
123	SLU-kontroll
124	SLU-kontroll
125	SLU-försök
127	SLU-försök
128	SLU-försök
129	SLU-kontroll
131	SLU-försök
132	SLU-försök
133	SLU-försök
136	SLU-kontroll
137	SLU-försök
138	SLU-försök
139	SLU-försök
142	SLU-kontroll
144	SLU-försök
145	SLU-kontroll
146	SLU-kontroll
147	SLU-kontroll
148	SLU-kontroll
149	SLU-försök
150	SLU-försök
152	SLU-kontroll
154	SLU-kontroll
155	SLU-försök
156	SLU-försök
157	SLU-kontroll
158	SLU-kontroll
160	SLU-kontroll
161	SLU-försök
162	SLU-försök
163	SLU-kontroll
164	SLU-kontroll
166	SLU-kontroll
167	SLU-försök
168	SLU-försök
170	SLU-försök
171	SLU-försök
172	SLU-försök
173	SLU-kontroll
174	SLU-kontroll
175	SLU-försök
176	SLU-försök
177	SLU-försök
182	SLU-försök
184	SLU-försök
185	SLU-kontroll
186	SLU-kontroll
189	SLU-försök
191	SLU-kontroll
192	SLU-kontroll
193	SLU-kontroll
194	SLU-kontroll
195	SLU-kontroll
196	SLU-kontroll
197	SLU-kontroll
198	SLU-kontroll
199	SLU-kontroll
200	SLU-kontroll
201	SLU-kontroll
202	SLU-kontroll
203	SLU-kontroll
204	SLU-kontroll
205	SLU-kontroll
207	SLU-kontroll
208	SLU-kontroll
209	SLU-kontroll
211	SLU-kontroll
215	SLU-kontroll
216	SLU-kontroll
219	SLU-försök
220	SLU-försök
221	SLU-försök
223	SLU-försök
225	SLU-försök
226	SLU-försök
227	SLU-försök
228	SLU-försök
229	SLU-försök
231	SLU-försök
233	SLU-försök
234	SLU-försök
235	SLU-försök
238	SLU-försök
239	SLU-försök
240	SLU-försök
242	SLU-försök
243	SLU-försök
244	SLU-försök
246	SLU-kontroll
247	SLU-försök
248	SLU-försök
249	SLU-försök
250	SLU-försök
251	SLU-kontroll
252	SLU-kontroll
253	SLU-försök
254	SLU-försök
255	SLU-försök
256	SLU-försök
257	SLU-kontroll
260	SLU-försök
261	SLU-försök
262	SLU-försök
263	SLU-kontroll
264	SLU-kontroll
265	SLU-kontroll
266	SLU-kontroll
267	SLU-kontroll
268	SLU-kontroll
269	SLU-försök
274	SLU-kontroll
275	SLU-försök
276	SLU-försök
277	SLU-kontroll
278	SLU-kontroll
279	SLU-kontroll
281	SLU-försök
282	SLU-försök
283	SLU-kontroll
286	SLU-kontroll
289	SLU-kontroll
290	SLU-kontroll
291	SLU-försök
292	SLU-försök
293	SLU-försök
294	SLU-försök
295	SLU-försök
297	SLU-försök
298	SLU-kontroll
299	SLU-kontroll
300	SLU-kontroll
301	SLU-försök
303	SLU-kontroll
304	SLU-försök
307	SLU-kontroll
309	SLU-kontroll
310	SLU-försök
311	SLU-kontroll
312	SLU-försök
313	SLU-kontroll
314	SLU-kontroll
315	SLU-kontroll
316	SLU-kontroll
317	SLU-försök
318	SLU-försök
319	SLU-kontroll
320	SLU-kontroll
321	SLU-försök
322	SLU-försök
323	SLU-försök
324	SLU-försök
325	SLU-försök
326	SLU-kontroll
327	SLU-kontroll
328	SLU-kontroll
330	SLU-kontroll
331	SLU-försök
332	SLU-försök
333	SLU-försök
334	SLU-försök
335	SLU-försök
336	SLU-försök
337	SLU-försök
338	SLU-försök
339	SLU-försök
341	SLU-kontroll
342	SLU-försök
343	SLU-försök
344	SLU-kontroll
345	SLU-kontroll
346	SLU-kontroll
349	SLU-försök
350	SLU-kontroll
351	SLU-försök
352	SLU-kontroll
354	SLU-kontroll
356	SLU-kontroll
357	SLU-försök
358	SLU-försök
359	SLU-kontroll
360	SLU-kontroll
361	SLU-kontroll
362	SLU-kontroll
363	SLU-kontroll
365	SLU-försök
366	SLU-försök
367	SLU-försök
368	SLU-försök
369	SLU-försök
370	SLU-försök
371	SLU-försök
373	SLU-försök
374	SLU-försök
375	SLU-kontroll
377	SLU-kontroll
378	SLU-kontroll
379	SLU-kontroll
381	SLU-kontroll
382	SLU-kontroll
383	SLU-försök
384	SLU-försök
385	SLU-kontroll
386	SLU-kontroll
387	SLU-försök
388	SLU-försök
389	SLU-kontroll
390	SLU-kontroll
391	SLU-försök
392	SLU-försök
393	SLU-kontroll
395	SLU-kontroll
397	SLU-försök
398	SLU-försök
399	SLU-försök
400	SLU-försök
401	SLU-försök
402	SLU-försök
405	SLU-kontroll
407	SLU-kontroll
408	SLU-kontroll
409	SLU-kontroll
412	SLU-försök
413	SLU-försök
414	SLU-försök
416	SLU-försök
417	SLU-försök
418	SLU-försök
421	SLU-kontroll
422	SLU-kontroll
423	SLU-kontroll
424	SLU-kontroll
425	SLU-försök
426	SLU-kontroll
435	SLU-kontroll
438	SLU-försök
439	SLU-försök
440	SLU-försök
441	SLU-försök
443	SLU-försök
445	SLU-försök
447	SLU-kontroll
448	SLU-kontroll
449	SLU-kontroll
451	SLU-kontroll
452	SLU-kontroll
453	SLU-försök
454	SLU-försök
455	SLU-kontroll
456	SLU-kontroll
457	SLU-kontroll
458	SLU-kontroll
460	SLU-försök
461	SLU-försök
462	SLU-försök
463	SLU-kontroll
465	SLU-kontroll
466	SLU-kontroll
467	SLU-kontroll
468	SLU-kontroll
471	SLU-försök
472	SLU-försök
473	SLU-försök
474	SLU-försök
475	SLU-kontroll
476	SLU-kontroll
477	SLU-kontroll
478	SLU-kontroll
479	SLU-kontroll
480	SLU-kontroll
481	SLU-kontroll
482	SLU-kontroll
483	SLU-försök
484	SLU-försök
485	SLU-försök
486	SLU-försök
487	SLU-försök
489	SLU-försök
490	SLU-försök
491	SLU-försök
492	SLU-försök
493	SLU-kontroll
494	SLU-kontroll
497	SLU-kontroll
498	SLU-kontroll
499	SLU-försök
500	SLU-försök
501	SLU-försök
502	SLU-försök
503	SLU-försök
504	SLU-kontroll
505	SLU-försök
506	SLU-försök
509	SLU-kontroll
510	SLU-kontroll
511	SLU-kontroll
513	SLU-kontroll
514	SLU-kontroll
517	SLU-kontroll
518	SLU-försök
521	SLU-kontroll
522	SLU-kontroll
523	SLU-kontroll
524	SLU-kontroll
525	SLU-kontroll
526	SLU-kontroll
527	SLU-kontroll
531	SLU-försök
532	SLU-kontroll
533	SLU-kontroll
534	SLU-försök
535	SLU-försök
536	SLU-försök
537	SLU-kontroll
539	SLU-försök
540	SLU-försök
541	SLU-försök
542	SLU-kontroll
544	SLU-kontroll
545	SLU-kontroll
546	SLU-kontroll
547	SLU-kontroll
548	SLU-kontroll
549	SLU-försök
551	SLU-försök
554	SLU-försök
555	SLU-kontroll
557	SLU-kontroll
558	SLU-försök
560	SLU-försök
562	SLU-kontroll
563	SLU-försök
567	SLU-kontroll
568	SLU-kontroll
569	SLU-kontroll
570	SLU-kontroll
572	SLU-försök
573	SLU-försök
574	SLU-försök
575	SLU-försök
576	SLU-kontroll
577	SLU-försök
578	SLU-försök
579	SLU-försök
580	SLU-försök
581	SLU-försök
582	SLU-försök
584	SLU-kontroll
585	SLU-kontroll
586	SLU-kontroll
587	SLU-kontroll
588	SLU-kontroll
590	SLU-kontroll
592	SLU-försök
593	SLU-försök
596	SLU-kontroll
598	SLU-kontroll
599	SLU-kontroll
600	SLU-försök
601	SLU-försök
603	SLU-försök
