animal_id	SIDE	CTPOS	DATE	OBJECTLEN	TRAB_A_REA	THRESH2	TOT_CNT	TOT_DEN	TOT_ATT	CRTSUB_CNT	CRTSUB_DEN	CRTSUB_ATT	TRAB_CNT	TRAB_DEN	TRAB_ATT	TOT_A	TRAB_A	CRTSUB_A	HIST_LO_HI	CRT_CNT	CRT_DEN	CRT_ATT	CRT_A	CRT_THK_C	PERI_C	ENDO_C	I_CIRC	R_CIRC	PERI	X_CRT_A	Y_CRT_A	IX_CRT_A	IY_CRT_A	IXY_CRT_A	IP_CRT_A	RX_CRT_A	RY_CRT_A	RP_CRT_A	X_TOT_W	Y_TOT_W	IX_TOT_W	IY_TOT_W	IXY_TOT_W	IP_TOT_W	RX_TOT_W	RY_TOT_W	RP_TOT_W	X_CM_W	Y_CM_W	IX_CM_W	IY_CM_W	IXY_CM_W	IP_CM_W	RX_CM_W	RY_CM_W	RP_CM_W	PERI_R
1	R	11.52	42478	115.9	45.05	418.5	29.165	698.7	1.08525	23.05	1005.15	1.45535	6.115	325.05	0.634	41.745	18.81	22.935	0.0035	18.445	1359.45	1.88315	13.57	0.6505	22.904	18.817	75.5	20.5	21.42	238.5	346.5	61.6005	85.62	-2.4695	147.2205	18.144	21.0885	35.6535	237.5	347.5	118.014	164.718	-4.7525	282.7315	32.2115	40.571	66.51	238.5	346.5	69.764	98.264	-2.776	168.028	20.549	24.203	40.693	23.467
2	R	11.17	42478	117.8	45.2	273	24.255	635.4	1.0088	21.14	1010.6	1.4619	3.12	180.6	0.4596	38.175	17.26	20.915	0.035	18.32	1371.4	1.8976	13.355	0.6755	21.902	17.659	67	19	20.23	238.5	354.5	59.6	70.122	-0.228	129.7215	17.9245	19.264	35.0525	238.5	355	107.6085	126.2015	1.591	233.8105	31.6955	32.315	54.914	238.5	355	67.6325	81.269	-0.3515	148.9015	20.557	22.3265	40.4785	22.307
3	R	11.96	42478	116.7	44.95	817.5	33.66	935.95	1.37175	24.405	1232.8	1.73025	9.25	572.4	0.9327	35.965	16.165	19.8	0.0075	26.71	1198.5	1.68885	22.285	1.297	21.2585	13.1105	88	26	9.905	233.5	337.5	74.6205	90.1945	-0.775	164.815	23.4355	24.779	44.794	232	336.5	94.593	113.233	-1.0225	207.8255	27.056	30.2715	51.9335	233	337.5	78.6975	95.8775	-0.9905	174.575	24.715	26.594	47.884	10.84
4	L	11.44	42478	122.6	44.95	556.5	33.565	824.8	1.2375	25.69	1147.1	1.6267	7.885	430.55	0.7614	40.7	18.31	22.39	0.0085	22.425	1339.25	1.8587	16.745	0.8385	22.6155	17.3495	86.5	24	10.465	275.5	356.5	73.7905	91.9815	1.9085	165.772	22.199	22.655	40.236	277	355	117.0835	150.3635	3.619	267.4475	33.797	37.3645	64.395	276	356	83.045	105.0295	1.8995	188.0745	25.242	26.0935	45.963	11.521
7	R	13.1	42478	114.6	45.15	339	26.56	715.1	1.10505	22.475	1103.9	1.5745	4.08	243.25	0.5353	37.14	16.78	20.36	0.0115	20.01	1364.9	1.8897	14.66	0.7635	21.6035	16.807	69.5	20	9.94	233	340	64.1165	69.9295	-0.751	134.046	19.912	20.181	36.077	234	340.5	103.7765	117.4765	-0.016	221.2535	28.244	32.5865	51.8925	233.5	341	72.709	80.719	-1.1745	153.4275	22.58	23.0625	42.0805	11.0305
8	R	12.47	42478	114.9	45.1	308	24.94	665.9	1.0456	20.985	1020.75	1.4742	3.96	234.25	0.5244	37.46	16.9	20.555	0.009	17.985	1364.1	1.88875	13.185	0.6735	21.6965	17.4665	65	19	10.22	227	363.5	59.5045	66.6025	-5.9305	126.107	18.2855	19.0295	33.256	227	364	106.077	120.378	-9.9385	226.455	31.2455	29.651	53.6175	227	364	67.6385	76.595	-7.3745	144.2335	20.559	21.8845	38.193	11.1165
9	R	10.77	42478	118.3	45.1	353	25.84	728.15	1.1208	21.815	1119.9	1.59385	4.025	251.4	0.5451	35.485	16.01	19.48	0.0185	19.345	1377.25	1.9047	14.045	0.7485	21.117	16.414	63.5	19	9.835	248.5	349	54.768	68.23	2.8195	122.9985	17.009	18.9255	33.833	247.5	349	90.886	112.053	5.343	202.939	26.497	30.784	53.921	248.5	349	63.0695	79.3935	3.3185	142.463	19.5865	22.0225	39.188	10.73
10	R	13.39	42478	116	45	344.5	24.935	720.05	1.11105	20.86	1095.4	1.56435	4.08	261.55	0.55735	34.63	15.59	19.045	0.0135	18.34	1374.5	1.90125	13.34	0.717	20.8615	16.3565	59.5	18	9.625	223	346	51.5325	63.3395	-0.0695	114.872	16.7315	17.918	31.9805	222.5	345.5	85.8405	107.327	-0.0455	193.1675	25.872	28.9565	49.234	223	346.5	58.998	73.6015	-0.148	132.5995	18.9445	20.821	37.013	10.6705
11	R	8.79	42478	120.4	45.05	302	26.37	687.85	1.07215	22.435	1065.4	1.5281	3.94	227.8	0.51655	38.345	17.285	21.06	0.0105	19.7	1387.7	1.9173	14.195	0.721	21.9515	17.4195	70.5	20	20.545	245.5	362	61.95	75.4415	-5.2135	137.3915	19.239	20.7255	35.756	245.5	362.5	107.65	129.039	-7.2755	236.689	32.0385	32.6245	58.133	245.5	362	71.482	88.2705	-6.11	159.7535	22.1995	24.2505	41.5765	22.482
12	R	10.99	42478	115.4	45	716	32.13	868.8	1.29065	23.865	1172.8	1.6578	8.265	496.85	0.84155	36.98	16.63	20.35	0.005	23.58	1210.45	1.70325	19.48	1.071	21.557	14.8295	84.5	24.5	0	273.5	344.5	66.2965	89.2565	-7.221	155.5525	21.0465	22.973	38.9715	271.5	345	94.4085	127.984	-7.3435	222.392	27.9745	32.673	55.8335	273.5	344.5	70.3655	96.475	-7.17	166.8405	22.3385	24.831	41.8	0
13	R	13.61	42478	112.5	45.2	341.5	26.515	673.15	1.0544	21.76	1007.95	1.4587	4.76	267.25	0.56425	39.39	17.805	21.585	0.0065	18.21	1370.7	1.8968	13.285	0.658	22.2485	18.1125	69.5	19.5	10.535	238	347.5	56.126	78.3375	-3.8145	134.4635	17.8175	19.805	33.0915	236	347.5	104.1935	148.2605	-6.7695	252.453	30.3855	36.841	61.0325	238	347.5	63.947	90.435	-4.522	154.382	20.3005	22.8635	37.9935	11.4565
14	R	13.2	42478	112.6	45	330	25.15	669.1	1.04955	21.25	1028.55	1.4836	3.9	230.35	0.5197	37.59	16.925	20.665	0.007	17.835	1371.5	1.8977	13.005	0.6615	21.734	17.577	64	18.5	20.265	249.5	353.5	55.4215	69.863	-6.473	125.284	17.594	19.378	32.915	250.5	354	100.3905	129.012	-12.0115	229.403	29.327	34.13	56.6935	250.5	354	63.298	80.9725	-7.8965	144.2705	19.8745	22.0325	37.4275	22.291
15	R	12.22	42478	116.9	44.95	578	29.405	846.85	1.2642	22.98	1202.25	1.69335	6.425	411.75	0.7387	34.72	15.61	19.11	0.004	20.77	1356	1.879	15.315	0.839	20.888	15.6145	66	20	0	240.5	340.5	57.864	66.187	-1.4215	124.051	18.578	18.9105	34.374	239	340.5	89.2575	103.9095	-1.4995	193.1675	27.4395	29.987	52.366	240.5	340.5	66.498	76.751	-1.546	143.249	21.3495	21.9285	39.694	0
16	R	13.39	42479	114.2	45.1	380	25.685	735.3	1.12945	20.845	1086.45	1.5535	4.845	307.5	0.6129	34.93	15.75	19.185	0.0025	18.15	1367.2	1.8926	13.275	0.709	20.9515	16.4965	59.5	18	9.765	239	341.5	51.8725	64.389	-1.08	116.261	17.0365	17.8605	31.196	238	341.5	86.643	111.066	-0.704	197.709	27.8145	30.8065	53.3105	239	342	59.085	74.169	-1.3	133.254	19.406	20.5735	35.84	10.6815
17	R	14.06	42479	115.2	45	651.5	29.19	829.4	1.2431	23.28	1202.2	1.6933	5.91	373.35	0.6924	35.19	15.825	19.365	0.0125	22.09	1286.4	1.795	17.175	0.9525	21.0285	15.0445	73	21.5	19.775	200	350	59.072	75.7735	3.6695	134.8455	19.6255	20.046	35.5345	197.5	350	84.9915	115.23	4.592	200.2215	26.9815	31.353	52.497	199.5	350	64.7155	85.413	3.771	150.1285	21.5	22.8025	39.927	21.6285
