animal_id	SIDE	CTPOS	DATE	OBJECTLEN	TRAB_A_REA	THRESH2	TOT_CNT	TOT_DEN	TOT_ATT	CRTSUB_CNT	CRTSUB_DEN	CRTSUB_ATT	TRAB_CNT	TRAB_DEN	TRAB_ATT	TOT_A	TRAB_A	CRTSUB_A	HIST_LO_HI	CRT_CNT	CRT_DEN	CRT_ATT	CRT_A	CRT_THK_C	PERI_C	ENDO_C	I_CIRC	R_CIRC	PERI	X_CRT_A	Y_CRT_A	IX_CRT_A	IY_CRT_A	IXY_CRT_A	IP_CRT_A	RX_CRT_A	RY_CRT_A	RP_CRT_A	X_TOT_W	Y_TOT_W	IX_TOT_W	IY_TOT_W	IXY_TOT_W	IP_TOT_W	RX_TOT_W	RY_TOT_W	RP_TOT_W	X_CM_W	Y_CM_W	IX_CM_W	IY_CM_W	IXY_CM_W	IP_CM_W	RX_CM_W	RY_CM_W	RP_CM_W	PERI_R
1	R	52.08	2016-04-18 00:00:00	115.9	45.05	410	42.31	548.55	0.90395	32.36	763.85	1.1639	9.95	286.2	0.5871	77.16	34.77	42.38	0.0145	21.85	1005.75	1.45605	21.73	0.756	31.1355	26.3875	229	46.5	16.8	242	332.5	206.6235	263.1605	66.205	469.784	34.889	43.9805	67.5095	239.5	333.5	451.583	611.255	164.1495	1062.8375	70.835	103.9215	153.4335	241	333.5	172.5955	226.4905	59.0155	399.086	28.828	38.305	57.5565	18.1925
2	R	52.4	2016-04-18 00:00:00	117.8	45.15	288	30.385	462.8	0.8004	25.255	701.25	1.0883	5.13	173.05	0.4505	65.68	29.65	36.03	0.0295	16.995	1026.15	1.4807	16.555	0.618	28.7275	24.8425	151.5	33	29.645	244.5	346	130.9415	175.6855	42.3915	306.6265	27.5215	32.384	50.799	243.5	347	311.814	445.896	116.6435	757.71	60.9735	82.1695	123.744	243.5	348	111.6555	154.059	38.917	265.7145	22.8065	28.77	43.9655	32.701
3	R	52.81	2016-04-18 00:00:00	116.7	44.9	565.5	50.31	662.3	1.0413	35.84	856.55	1.2759	14.47	424.05	0.7536	76.005	34.135	41.865	0.0055	26.86	997.75	1.4464	26.92	0.966	30.9005	24.8285	268	54.5	0	258.5	340.5	221.6695	316.9675	78.0855	538.637	40.913	50.277	77.446	255.5	342	413.8605	626.0505	178.7695	1039.9105	72.528	101.552	151.138	257.5	341.5	185.613	274.356	67.6455	459.9685	33.8525	44.0205	66.4565	0
4	L	54.35	2016-04-18 00:00:00	122.6	45.1	493.5	47.24	622.55	0.9933	34.32	824.3	1.23695	12.915	377.15	0.69695	75.885	34.24	41.645	0.005	24.25	1027.25	1.482	23.61	0.8355	30.8775	25.627	241	49	15.26	258.5	355	217.3955	280.323	-71.6845	497.7185	40.862	47.944	75.235	261	358	432.6635	574.9265	-156.5885	1007.5895	78.1265	98.9115	145.6035	260	356	185.8425	248.271	-63.955	434.1135	34.996	43.2525	66.1945	16.618
7	R	53.21	2016-04-18 00:00:00	114.6	45.05	321	36.07	498.3	0.8433	28.78	723.75	1.1155	7.295	223.6	0.5115	72.425	32.64	39.785	0.0175	19.96	1011.2	1.4626	19.735	0.7065	30.1645	25.7265	196.5	41	0	253.5	344.5	163.043	239.478	46.3935	402.5215	28.918	40.2505	63.4945	254	346.5	363.719	553.7145	113.7565	917.4335	58.034	91.3615	140.8615	252	346	135.935	206.6895	41.1895	342.6245	23.6785	35.365	54.5695	0
8	R	52.68	2016-04-18 00:00:00	114.9	45.15	311.5	33.205	432.05	0.76325	27.395	650.1	1.02665	5.81	167.45	0.44375	76.915	34.75	42.17	0.063	15.97	983.8	1.42955	16.23	0.5535	31.0855	27.608	177.5	36	33.985	247.5	372.5	153.404	208.2205	36.096	361.624	25.0745	32.5165	53.65	248.5	375	408.4575	641.521	121.8295	1049.9785	61.9675	97.9305	151.032	246.5	374.5	122.793	175.099	30.188	297.892	19.6315	27.6545	44.3445	37.6785
9	R	52.17	2016-04-18 00:00:00	118.3	45.25	319	34.8	502.8	0.84865	27.325	720.6	1.11165	7.475	238.95	0.53005	69.255	31.315	37.94	0.011	18.295	1023.75	1.4778	17.87	0.651	29.4985	25.407	171.5	36.5	16.52	247	339.5	156.9455	189.1215	40.866	346.067	29.327	34.8695	55.4905	244.5	340.5	377.683	457.2755	121.3285	834.9585	63.8005	84.805	132.5765	245.5	341.5	133.537	166.57	39.3605	300.107	24.357	31.315	47.901	18.02
10	R	53.99	2016-04-18 00:00:00	116	45.15	326	32.005	532.35	0.8844	25.215	764.5	1.1647	6.79	250.15	0.54355	60.135	27.135	33	0.009	18.13	1066.25	1.5291	17.005	0.67	27.487	23.2765	140	32	15.645	246.5	332.5	115.579	171.7575	32.81	287.3365	22.683	33.8405	50.7415	247.5	333.5	249.538	384.649	78.819	634.187	46.0915	72.76	104.582	246	334	101.414	157.8575	32.545	259.2715	19.543	30.9025	45.079	16.93
11	R	50.93	2016-04-18 00:00:00	120.4	45.1	304	35.745	481.85	0.8234	28.685	704.45	1.0922	7.06	210.95	0.49625	74.2	33.465	40.735	0.024	18.805	1024.75	1.479	18.355	0.644	30.533	26.4885	190	39	15.155	246.5	356.5	142.389	248.534	43.681	390.923	30.797	39.226	56.645	245	358	346.795	630.551	130.7095	977.346	72.3145	100.027	141.105	244.5	357.5	122.169	216.2405	40.2205	338.4095	26.4595	34.9045	49.7655	16.7305
12	R	51.38	2016-04-18 00:00:00	115.4	45.05	518	45.33	618.85	0.98885	31.535	783.85	1.18815	13.79	417.55	0.74575	73.275	33.02	40.255	5e-04	20.195	981.9	1.42725	20.565	0.734	30.3405	25.728	206.5	42.5	15.365	253.5	348.5	164.8095	247.135	47.933	411.9445	32.0315	38.804	59.4545	252	353	371.4465	593.3295	147.275	964.7755	65.3835	93.0685	136.8025	252.5	349.5	136.9015	207.511	42.095	344.4125	26.68	32.9495	49.971	17.1135
