animal_id	WaterLost_CB	OMLost_CB	CO2Lost_CB	Phosphates_CB	Mineral_CB	Phosphates/OM_CB	CO3/Phosphates_CB	WaterLost_MB	OMLost_MB	CO2Lost_MB	Phosphates_MB	Mineral_MB	Phosphates/OM_MB	CO3/Phosphates_MB
1	8.63895	24.55101	4.44988	62.36015	66.81004	2.54002	10.70367	8.789	50.81084	2.87333	37.52684	40.40016	0.73856	11.48509
2	7.91814	24.5069	4.60609	62.96887	67.57496	2.56943	10.9723	9.35694	62.18942	2.22697	26.22667	28.45364	0.42172	12.73684
3	8.46886	24.04613	4.6905	62.79451	67.485	2.61142	11.20439	9.04156	37.37897	4.43032	49.14914	53.57946	1.31489	13.52104
4	9.16183	22.86665	3.74364	64.22788	67.97152	2.8088	8.74302	9.89173	39.99098	2.7609	47.35639	50.11729	1.18418	8.74508
7	8.97207	23.26652	4.61241	63.149	67.76141	2.71416	10.95602							
8	8.01107	23.94785	4.43105	63.61003	68.04108	2.65619	10.44894	8.38965	57.09916	2.30715	32.20403	34.51119	0.564	10.74627
9	10.90999	20.30538	7.99163	60.79301	68.78463	2.99394	19.71845							
10	8.33682	24.36046	4.59929	62.70343	67.30272	2.57398	11.00247	8.34753	53.03805	3.97501	34.63941	38.61442	0.6531	17.21311
11	9.93625	22.12042	4.89844	63.04488	67.94332	2.85008	11.65466							
12	8.72709	24.46161	4.09113	62.72016	66.81129	2.56402	9.78426							
13	8.49108	22.67872	5.27978	63.55042	68.8302	2.80221	12.46203	9.83291	55.86142	1.92278	32.38289	34.30567	0.5797	8.90647
14	8.32065	24.44898	4.1951	63.03526	67.23036	2.57824	9.98276	9.14009	51.80944	2.07	36.98047	39.05047	0.71378	8.39631
15	9.25907	21.96614	4.72953	64.04526	68.77479	2.91564	11.077							
16	8.23306	24.55392	4.15917	63.05384	67.21301	2.56797	9.89432	9.97563	45.3273	2.76114	41.93593	44.69708	0.92518	9.87629
17	--	--	--	--	--	--	--	8.07255	67.1436	1.53651	23.24735	24.78385	0.34623	9.9141
18	9.20012	22.46336	4.80903	63.52749	68.33652	2.82805	11.35499							
19	8.76673	22.79692	5.33466	63.10168	68.43634	2.76799	12.68111							
20	8.45895	25.16951	3.86548	62.50605	66.37153	2.4834	9.27625	9.10868	36.44655	4.83861	49.60616	54.44477	1.36107	14.63109
21	8.15083	23.39799	4.31528	64.1359	68.45118	2.74109	10.09251	9.81419	52.02996	2.7339	35.42195	38.15585	0.6808	11.57712
22	10.66652	22.22852	4.71548	62.38948	67.10496	2.80673	11.33721							
23	8.80634	23.79257	4.00349	63.3976	67.40109	2.6646	9.47235	9.43092	51.00788	2.18433	37.37688	39.56121	0.73277	8.76611
24	8.81316	22.81493	2.61795	65.75396	68.37191	2.88206	5.97214							
25	9.35073	23.16785	5.00253	62.47889	67.48143	2.69679	12.01014							
26	10.0781	21.33575	4.84786	63.73829	68.58615	2.98739	11.40882							
27	8.42361	24.62788	3.8627	63.08581	66.94851	2.56156	9.1844	9.36772	50.21214	2.22228	38.19786	40.42014	0.76073	8.72672
29	8.07519	25.17074	4.09997	62.65409	66.75407	2.48916	9.81573	8.48886	56.70019	4.662	30.14895	34.81095	0.53173	23.19483
30	9.81773	22.21053	4.9809	62.99083	67.97173	2.83608	11.86102	8.53471	60.53186	2.83063	28.1028	30.93343	0.46426	15.1086
31	8.77786	24.27128	4.08081	62.87005	66.95086	2.59031	9.7363							
32	10.54316	22.83838	4.58759	62.03087	66.61846	2.71608	11.09349							
33	--	--	--	--	--	--	--	8.96463	57.7283	3.33957	29.96749	33.30706	0.51911	16.71598
34	8.47017	22.5694	5.1073	63.85312	68.96043	2.82919	11.99778							
35	9.1401	23.28108	3.35696	64.22186	67.57881	2.75854	7.84069	8.19165	64.45789	1.46009	25.89036	27.35046	0.40166	8.45929
36	10.15993	22.11075	4.81918	62.91014	67.72932	2.84523	11.49063							
37	8.9835	22.96547	5.65798	62.39305	68.05103	2.71682	13.60242							
38	7.70408	24.66211	4.42014	63.21367	67.63381	2.56319	10.48857	8.07249	64.37229	2.9866	24.56862	27.55522	0.38166	18.23421
39	8.51073	25.26685	4.3717	61.85073	66.22242	2.4479	10.60221	7.84811	63.6291	2.53613	25.98666	28.52279	0.40841	14.63904
40	10.87751	21.97915	4.79211	62.35123	67.14334	2.83683	11.52851							
42	8.71129	24.56529	4.50569	62.21773	66.72342	2.53275	10.86272							
43	8.78487	24.44295	4.19016	62.58201	66.77217	2.56033	10.04321	9.75342	43.88252	3.86053	42.50353	46.36406	0.96858	13.62427
44	9.2025	22.64578	5.31747	62.83426	68.15173	2.77466	12.69404	8.70324	45.75268	3.58047	41.96361	45.54408	0.91718	12.79847
45	8.13398	24.1434	4.12017	63.60245	67.72262	2.63436	9.71701	8.23558	61.16187	2.29041	28.31214	30.60254	0.46291	12.13476
48	8.59047	25.60156	4.34413	61.46383	65.80796	2.40078	10.60168	7.83852	59.90268	2.85106	29.40774	32.2588	0.49093	14.5424
49	11.00146	22.23441	6.35356	60.41058	66.76413	2.71699	15.77594							
50	8.19467	24.18668	4.11599	63.50266	67.61865	2.62552	9.72241	9.65383	61.54829	1.96349	26.83438	28.79787	0.43599	10.97561
51	8.34301	24.71379	4.0125	62.9307	66.9432	2.54638	9.56409	9.33773	55.08867	2.5973	32.9763	35.5736	0.5986	11.8144
52	10.5762	22.34365	4.8116	62.26855	67.08015	2.78686	11.59077							
53	8.74252	24.21867	4.36426	62.67455	67.03881	2.58786	10.44505	8.68514	52.72466	1.79818	36.79202	38.59021	0.69781	7.33114
54	9.30661	21.79075	5.08439	63.81825	68.90264	2.92869	11.95048							
55	9.29086	24.44009	3.81299	62.45605	66.26904	2.55548	9.15763	9.16886	64.12021	2.36278	24.34815	26.71093	0.37973	14.55619
56	8.66594	22.26019	5.38098	63.69289	69.07387	2.86129	12.67249	8.51514	46.88543	3.19206	41.40737	44.59943	0.88316	11.56338
57	9.32031	23.11971	3.96818	63.5918	67.55998	2.75055	9.36013	9.03584	57.05836	2.26965	31.63614	33.90579	0.55445	10.76135
58	9.77711	21.93875	5.2693	63.01484	68.28414	2.87231	12.543							
59	10.59827	22.10726	4.67546	62.619	67.29447	2.83251	11.19979							
60	8.95368	24.47704	3.92661	62.64267	66.56928	2.55924	9.4024	8.6372	52.61097	2.71239	36.03944	38.75183	0.68502	11.28927
61	9.06863	24.00356	4.2345	62.6933	66.9278	2.61183	10.13147	9.29636	49.88467	2.34288	38.47609	40.81897	0.7713	9.13377
63	10.62349	21.15885	5.76338	62.45429	68.21767	2.95169	13.84225	--	--	--	--	--	--	--
64	8.4951	24.16541	3.83859	63.5009	67.33949	2.62776	9.06741	8.25125	55.78319	2.74104	33.22452	35.96555	0.5956	12.37506
65	7.86095	24.64915	4.11218	63.37772	67.4899	2.57119	9.73254	8.74199	47.57717	4.09435	39.58649	43.68084	0.83205	15.5142
66	8.59653	21.33871	5.16216	64.9026	70.06476	3.04154	11.93056							
67	8.53779	24.43184	4.33773	62.69264	67.03037	2.56602	10.37856	8.74028	48.25088	3.04365	39.9652	43.00884	0.82828	11.42362
68	10.66318	21.79859	4.38098	63.15725	67.53823	2.89731	10.40493							
69	8.42253	24.03883	4.39682	63.14182	67.53864	2.62666	10.44511	9.31814	37.28076	3.15465	50.24646	53.40111	1.34779	9.41754
70	10.34467	23.11858	4.71345	61.82329	66.53674	2.67418	11.43611							
73	9.49291	22.14072	4.83579	63.53057	68.36636	2.8694	11.41763							
74	8.43982	23.79174	4.47496	63.29349	67.76845	2.66031	10.60526	8.47539	63.12929	1.88489	26.51043	28.39532	0.41994	10.665
75	8.83213	23.7132	4.84012	62.61454	67.45467	2.64049	11.59505							
76	8.36126	25.56916	4.30553	61.76405	66.06958	2.41557	10.4564	9.89486	48.49299	3.87461	37.73754	41.61215	0.77821	15.40089
77	9.04993	23.87807	3.81518	63.25681	67.072	2.64916	9.04689							
79	9.44221	21.79707	5.2368	63.52392	68.76072	2.91433	12.36574	9.97984	44.0877	2.70161	43.23085	45.93246	0.98056	9.37391
80	9.20056	23.8427	3.61303	63.34371	66.95674	2.65673	8.55578	8.6265	61.79769	1.62604	27.94977	29.5758	0.45228	8.72658
81	8.64169	24.54376	4.01818	62.79638	66.81456	2.55855	9.59811	9.20572	57.5108	2.13111	31.15238	33.28348	0.54168	10.26137
82	10.6791	22.44603	4.63634	62.23852	66.87487	2.77281	11.17397							
83	8.4192	24.98655	4.012	62.58225	66.59425	2.50464	9.61615	10.19015	31.20016	3.81108	54.79861	58.60969	1.75636	10.43206
84	10.56811	22.33683	4.04116	63.0539	67.09506	2.82287	9.61359							
86	9.38102	23.23497	3.67014	63.71386	67.384	2.74215	8.64053	8.24957	54.94433	2.48956	34.31653	36.80609	0.62457	10.88205
87	7.9393	23.54963	5.65476	62.8563	68.51107	2.6691	13.4945	8.92718	62.11127	2.223	26.73855	28.96156	0.43049	12.47078
88	9.90508	22.41288	4.86825	62.81379	67.68204	2.80258	11.62543							
90	10.14056	22.16452	5.26589	62.42903	67.69492	2.81662	12.65251							
91	8.30603	23.81689	4.10599	63.77108	67.87708	2.67756	9.65797	8.81134	40.20949	3.45504	47.52414	50.97918	1.18191	10.9051
92	10.3148	21.90483	4.85317	62.9272	67.78037	2.87275	11.56853							
93	8.05931	23.94318	4.30753	63.68999	67.99751	2.66005	10.1449	9.22544	56.8143	2.15243	31.80783	33.96026	0.55986	10.15047
95	8.36377	23.60685	3.86741	64.16196	68.02938	2.71794	9.04137	8.98267	51.75803	3.55912	35.70017	39.2593	0.68975	14.95423
96	8.81304	22.68287	5.50839	62.9957	68.50409	2.77724	13.11612	9.37635	55.16059	2.11436	33.3487	35.46306	0.60457	9.51024
97	8.57658	24.64878	3.76427	63.01038	66.77465	2.55633	8.96107	8.81627	52.81853	2.03502	36.33019	38.36521	0.68783	8.40219
98	9.12229	23.85643	4.02317	62.9981	67.02128	2.64072	9.57927	8.14979	61.59229	1.88133	28.37658	30.25791	0.46072	9.94481
101	8.57386	24.99322	4.13692	62.296	66.43292	2.49252	9.96112	8.28237	53.32572	2.53065	35.86126	38.39191	0.67249	10.58516
102	8.73544	23.80853	4.34692	63.1091	67.45603	2.65069	10.33192	8.16263	60.08516	1.92902	29.82319	31.75221	0.49635	9.70227
104	--	--	--	--	--	--	--	8.46324	62.65458	2.05438	26.82779	28.88218	0.42819	11.48649
105	8.65136	23.60187	4.13329	63.61348	67.74678	2.69527	9.74626	8.27065	61.13266	1.90238	28.6943	30.59669	0.46938	9.94475
106	8.28155	24.78123	4.39231	62.54492	66.93722	2.52388	10.53396	8.49655	54.68242	2.69209	34.12894	36.82103	0.62413	11.83202
107	8.7379	24.52962	3.95858	62.77391	66.73248	2.55911	9.45913	8.53223	60.42678	2.24177	28.79922	31.04099	0.4766	11.67623
108	7.98465	25.06482	4.44608	62.50445	66.95053	2.49371	10.66984	9.20731	35.78594	3.6552	51.35155	55.00675	1.43496	10.67699
109	9.32759	23.69934	4.09957	62.8735	66.97308	2.65296	9.78053	8.68971	58.50345	2.02652	30.78031	32.80683	0.52613	9.87575
110	8.55862	23.91219	4.05231	63.47688	67.52919	2.65458	9.57588	8.65284	50.50921	2.41501	38.42294	40.83795	0.76071	9.42799
111	8.32105	24.43689	4.20714	63.03491	67.24205	2.5795	10.01145	9.06591	54.16194	2.37014	34.40201	36.77215	0.63517	10.33433
112	9.03356	24.51322	3.95352	62.4997	66.45322	2.54963	9.48848	9.49999	34.15304	3.51048	52.83649	56.34698	1.54705	9.96607
113	8.52304	24.41849	4.35203	62.70644	67.05847	2.56799	10.41049	9.06722	49.44264	2.6907	38.79944	41.49013	0.78474	10.40233
114	9.07445	23.88905	4.12457	62.91192	67.0365	2.6335	9.83416	8.62997	56.45661	2.30793	32.60549	34.91342	0.57753	10.61751
115	9.06299	25.1599	3.76892	62.0082	65.77712	2.46457	9.11714	8.66242	49.24057	2.88421	39.2128	42.09701	0.79635	11.0329
116	8.79191	24.23453	4.38535	62.58821	66.97356	2.5826	10.51002	9.06013	33.13123	3.71099	54.09765	57.80864	1.63283	10.2897
118	8.85599	23.78889	3.89658	63.45855	67.35512	2.66757	9.21053	8.83094	55.20559	2.34191	33.62155	35.96346	0.60902	10.44824
120	--	--	--	--	--	--	--	8.73066	61.44268	2.24418	27.58248	29.82665	0.44891	12.20435
121	8.23468	24.84907	3.92931	62.98695	66.91625	2.53478	9.35743	8.78356	46.0905	2.70427	42.42167	45.12594	0.9204	9.56211
122	8.88201	24.21497	3.69912	63.2039	66.90302	2.61012	8.77901	9.12658	49.42086	2.18261	39.26995	41.45256	0.7946	8.33694
123	8.86749	24.31119	3.75752	63.06379	66.82132	2.59402	8.93743	9.62245	54.131	2.34792	33.89862	36.24655	0.62623	10.38946
124	9.0324	24.45905	3.33999	63.16855	66.50854	2.58262	7.93114	8.42627	57.26034	2.98524	31.32815	34.31339	0.54712	14.29342
125	9.63044	24.81445	3.37565	62.17945	65.5551	2.50578	8.14332	8.49482	59.1094	2.63331	29.76248	32.39578	0.50352	13.2716
127	9.26113	25.83783	3.56219	61.33884	64.90103	2.37399	8.7111	8.0819	57.22387	2.23897	32.45526	34.69423	0.56716	10.34796
128	8.79648	24.03274	3.84127	63.3295	67.17078	2.63513	9.09831	9.09544	52.85825	2.1243	35.92201	38.04631	0.67959	8.87047
129	8.58457	24.48258	4.00293	62.92992	66.93285	2.5704	9.5414	8.26949	59.19589	1.83071	30.70392	32.53463	0.51868	8.94367
131	9.23809	24.1973	3.80849	62.75612	66.5646	2.59352	9.10306	9.14422	54.98689	2.40225	33.46664	35.86889	0.60863	10.76706
132	8.8511	25.14991	3.96321	62.03578	65.99899	2.46664	9.58289	7.96553	61.89594	2.00011	28.13842	30.13853	0.45461	10.66215
133	8.82902	24.08719	4.00057	63.08322	67.08379	2.61895	9.51261	8.41311	59.40611	1.9098	30.27099	32.18079	0.50956	9.4635
136	8.81331	23.56723	3.55326	64.06619	67.61946	2.71844	8.31936	9.50492	39.10867	3.33518	48.05123	51.38641	1.22866	10.41131
137	9.43078	23.55585	3.72168	63.2917	67.01338	2.68688	8.82029	8.38925	61.35791	2.3217	27.93114	30.25284	0.45522	12.46832
138	9.56792	24.97675	3.52314	61.93218	65.45533	2.47959	8.53306	9.29669	42.55132	3.09155	45.06045	48.152	1.05897	10.29134
139	9.1483	23.93178	3.99158	62.92834	66.91992	2.62949	9.51459	9.27475	43.38221	3.0555	44.28754	47.34304	1.02087	10.34885
142	8.69378	23.6433	4.15902	63.5039	67.66292	2.68592	9.82385	8.28563	67.0136	2.15226	22.54851	24.70077	0.33648	14.31751
