animal_id	weight
1	2.262
2	1.896
3	1.7
4	2.074
7	1.895
8	1.774
9	1.759
10	1.886
11	2.143
12	2.074
13	1.89
14	1.865
15	1.96
16	1.632
17	1.848
18	1.753
19	1.491
20	1.497
21	1.954
22	2.122
23	2.115
24	1.992
25	1.776
26	1.938
27	1.765
29	2.039
30	2.311
31	1.868
32	2.17
33	2
34	1.96
35	1.709
36	2.297
37	2.066
38	1.661
39	1.807
40	1.981
42	1.534
43	1.683
44	2.218
45	1.4
48	1.9
49	1.695
50	1.942
51	2.154
52	1.814
53	1.956
54	2.204
55	1.755
56	1.562
57	2.334
58	1.901
59	2.176
60	1.904
61	1.726
63	2.018
64	1.983
65	1.787
66	1.841
67	1.919
68	2.141
69	1.713
70	2.217
73	2.156
74	1.754
75	2.185
76	1.743
77	1.991
79	2.106
80	1.677
81	2.044
82	1.834
83	2.023
84	2.064
86	2.066
87	1.846
88	1.821
89	1.801
90	1.893
91	2.062
92	1.869
93	1.849
95	2.214
96	1.938
97	1.95
98	1.87
101	1.883
102	1.899
104	1.831
105	2.33
106	2.066
107	2.295
108	1.739
109	2.051
110	1.772
111	1.899
112	2.084
113	2.108
114	2.26
115	2.102
116	2.086
118	1.838
120	2.03
121	1.526
122	1.988
123	1.934
124	1.671
125	1.67
127	1.955
128	1.96
129	1.769
131	1.916
132	2.096
133	1.811
136	1.932
137	2.038
138	1.568
139	1.979
142	1.825
144	1.942
145	1.727
146	1.813
147	2.153
148	1.901
149	1.713
150	1.734
152	1.96
154	2.22
155	1.679
156	1.911
157	1.951
158	1.959
160	1.752
161	1.77
162	1.763
163	1.813
164	1.338
166	1.921
167	1.777
168	1.819
170	1.567
171	1.607
172	1.67
173	2.202
174	1.734
175	1.526
176	1.841
177	1.674
182	1.869
184	2.21
185	1.712
186	1.897
189	1.942
191	1.784
192	1.91
193	2.01
194	2.255
195	1.908
196	2.142
197	2.186
198	2.088
199	1.739
200	1.732
201	1.913
202	1.97
203	1.508
204	2.021
205	1.704
207	2.114
208	1.812
209	1.995
211	1.786
215	1.916
216	1.869
219	1.665
220	1.59
221	1.649
223	1.806
225	1.479
226	1.671
227	1.901
228	1.874
229	2.111
231	1.744
233	2.134
234	2.077
235	1.771
238	1.663
239	1.742
240	2.011
242	2.037
243	1.813
244	1.767
246	1.641
247	1.715
248	1.743
249	1.813
250	1.769
251	2.228
252	1.903
253	1.779
254	1.975
255	1.834
256	2.058
257	2.013
260	1.781
261	2.224
262	1.914
263	1.842
264	2.011
265	2.197
266	1.495
267	1.445
268	1.89
269	2.096
274	2.086
275	1.835
276	1.734
277	1.809
278	1.913
279	1.795
281	1.68
282	1.754
283	2.297
286	1.868
289	1.674
290	1.609
291	2.025
292	1.956
293	1.628
294	1.953
295	1.8
297	1.854
298	1.874
299	1.813
300	1.744
301	1.509
303	2.067
304	1.794
307	2.009
309	2.102
310	2.066
311	1.999
312	2.022
313	2.059
314	1.766
315	1.883
316	2.153
317	1.647
318	1.61
319	1.67
320	1.798
321	1.767
322	1.985
323	1.986
324	1.991
325	1.971
326	1.903
327	1.828
328	1.7
330	1.887
331	1.796
332	1.751
333	1.699
334	1.987
335	1.945
336	1.762
337	1.792
338	1.593
339	1.566
341	1.813
342	1.81
343	1.659
344	1.799
345	1.659
346	2.023
349	2.191
350	1.445
351	1.689
352	1.907
354	1.747
356	2.213
357	1.814
358	2.048
359	2.135
360	1.818
361	1.838
362	1.842
363	1.962
365	1.943
366	1.814
367	1.907
368	1.814
369	1.928
370	1.902
371	1.891
373	1.967
374	1.556
375	1.838
377	1.961
378	1.778
379	2.52
381	1.94
382	1.814
383	2.077
384	1.5
385	1.464
386	1.895
387	1.729
388	2.113
389	2.023
390	1.629
391	2.16
392	2.249
393	1.788
395	2.051
397	1.888
398	1.477
399	1.73
400	1.446
401	1.897
402	2.016
405	1.874
407	2.317
408	1.79
409	1.937
412	1.773
413	2.047
414	2.089
416	1.894
417	1.722
418	1.569
421	2.072
422	2.069
423	1.671
424	1.784
425	1.977
